;name;catchPhrase;bs
0;Romaguera-Crona;Multi-layered client-server neural-net;harness real-time e-markets
1;Yost and Sons;Switchable contextually-based project;aggregate real-time technologies
2;Smith Group;Right-sized 3rdgeneration website;engineer scalable e-business
3;Solis-Thompson;Profit-focused stable Local Area Network;maximize integrated metrics
4;Powers-Martinez;Balanced systematic algorithm;engineer customized bandwidth
5;Hall PLC;Profound discrete productivity;monetize innovative e-business
6;Stevens-Jones;Cross-platform user-facing core;deliver extensible mindshare
7;Johnson PLC;Function-based global open architecture;morph integrated synergies
8;Bennett-Flores;Polarized 24/7 solution;maximize frictionless architectures
9;Chen, Mejia and Harris;User-friendly value-added hierarchy;incubate distributed ROI
10;Thomas and Sons;Multi-channeled motivating productivity;optimize virtual supply-chains
11;Brown, Carlson and Hudson;Upgradable didactic frame;implement cross-media models
12;Fuentes, Zhang and Roy;Exclusive system-worthy moratorium;incentivize scalable metrics
13;Lane-Nicholson;Customizable zero administration help-desk;engage e-business communities
14;Brooks-Nichols;Operative transitional neural-net;aggregate B2C applications
15;Johnson-Conley;Compatible 5thgeneration matrices;re-contextualize extensible action-items
16;Monroe Inc;Vision-oriented logistical orchestration;transform dynamic content
17;Murphy-White;Self-enabling fault-tolerant contingency;repurpose dot-com applications
18;Blanchard Group;Ergonomic exuding matrices;iterate vertical e-markets
19;Collins, Harvey and Davila;Secured zero-defect structure;drive back-end platforms
20;Lyons, Williams and Scott;Self-enabling incremental initiative;empower wireless convergence
21;Small-Page;Focused eco-centric challenge;maximize best-of-breed systems
22;Cabrera-Davidson;Fundamental regional hierarchy;aggregate integrated architectures
23;Williams, Anderson and Bartlett;Automated maximized interface;grow turn-key models
24;Guzman, Fischer and Clark;Persevering tangible data-warehouse;unleash killer channels
25;Wade, Bridges and Carroll;Synergistic clear-thinking matrices;scale dynamic markets
26;Carson, Santiago and Pope;Open-architected web-enabled migration;benchmark clicks-and-mortar eyeballs
27;Porter, Scott and Mcdonald;Automated empowering projection;enable best-of-breed platforms
28;Davis, Ayala and Roberts;Re-engineered real-time middleware;scale rich mindshare
29;Stewart LLC;Operative content-based adapter;drive clicks-and-mortar paradigms
30;Mayo PLC;Polarized even-keeled intranet;incubate value-added models
31;Crosby-Johnston;Exclusive global success;empower synergistic schemas
32;Collier, Dunlap and Velez;Right-sized incremental moratorium;deploy granular architectures
33;Garcia-Luna;Organized didactic time-frame;engage turn-key technologies
34;Reid-Evans;Operative background attitude;iterate strategic platforms
35;Thompson PLC;Customer-focused eco-centric migration;utilize virtual initiatives
36;King-Phelps;Business-focused asynchronous protocol;enable clicks-and-mortar paradigms
37;Brown and Sons;Object-based upward-trending encryption;reinvent viral solutions
38;Gardner, Goodman and Galloway;Proactive coherent Internet solution;utilize back-end initiatives
39;Graham-Santiago;Configurable mobile adapter;re-intermediate back-end interfaces
40;Ramirez, Pratt and Robinson;Reverse-engineered multimedia productivity;whiteboard customized deliverables
41;Rodriguez, Lopez and Norris;Programmable 3rdgeneration benchmark;scale sticky deliverables
42;Barnes-Rose;Virtual grid-enabled forecast;transition sticky deliverables
43;David-Solomon;Secured exuding moderator;benchmark one-to-one convergence
44;Guzman-King;Cloned bandwidth-monitored open architecture;synergize user-centric networks
45;Cook-Allen;Synchronized logistical circuit;deliver frictionless schemas
46;Bennett, Rowe and Bright;Function-based human-resource access;incubate efficient platforms
47;Carpenter-Hoffman;Optional local open architecture;maximize B2C content
48;Eaton and Sons;Front-line heuristic website;maximize revolutionary eyeballs
49;Simon, Calderon and Johnson;Visionary tangible superstructure;expedite cutting-edge functionalities
