;company;company_id
0;{'name': 'Romaguera-Crona', 'catchPhrase': 'Multi-layered client-server neural-net', 'bs': 'harness real-time e-markets'};25048.0
8;{'name': 'Yost and Sons', 'catchPhrase': 'Switchable contextually-based project', 'bs': 'aggregate real-time technologies'};4581.0
11;{'name': 'Smith Group', 'catchPhrase': 'Right-sized 3rdgeneration website', 'bs': 'engineer scalable e-business'};11386.0
13;{'name': 'Solis-Thompson', 'catchPhrase': 'Profit-focused stable Local Area Network', 'bs': 'maximize integrated metrics'};9820.0
18;{'name': 'Powers-Martinez', 'catchPhrase': 'Balanced systematic algorithm', 'bs': 'engineer customized bandwidth'};22078.0
19;{'name': 'Hall PLC', 'catchPhrase': 'Profound discrete productivity', 'bs': 'monetize innovative e-business'};13625.0
21;{'name': 'Stevens-Jones', 'catchPhrase': 'Cross-platform user-facing core', 'bs': 'deliver extensible mindshare'};7020.0
23;{'name': 'Johnson PLC', 'catchPhrase': 'Function-based global open architecture', 'bs': 'morph integrated synergies'};8024.0
24;{'name': 'Bennett-Flores', 'catchPhrase': 'Polarized 24/7 solution', 'bs': 'maximize frictionless architectures'};5456.0
25;{'name': 'Chen, Mejia and Harris', 'catchPhrase': 'User-friendly value-added hierarchy', 'bs': 'incubate distributed ROI'};23175.0
26;{'name': 'Thomas and Sons', 'catchPhrase': 'Multi-channeled motivating productivity', 'bs': 'optimize virtual supply-chains'};15401.0
29;{'name': 'Brown, Carlson and Hudson', 'catchPhrase': 'Upgradable didactic frame', 'bs': 'implement cross-media models'};7048.0
30;{'name': 'Fuentes, Zhang and Roy', 'catchPhrase': 'Exclusive system-worthy moratorium', 'bs': 'incentivize scalable metrics'};9515.0
33;{'name': 'Lane-Nicholson', 'catchPhrase': 'Customizable zero administration help-desk', 'bs': 'engage e-business communities'};20155.0
34;{'name': 'Brooks-Nichols', 'catchPhrase': 'Operative transitional neural-net', 'bs': 'aggregate B2C applications'};13946.0
35;{'name': 'Johnson-Conley', 'catchPhrase': 'Compatible 5thgeneration matrices', 'bs': 're-contextualize extensible action-items'};4481.0
39;{'name': 'Monroe Inc', 'catchPhrase': 'Vision-oriented logistical orchestration', 'bs': 'transform dynamic content'};8468.0
40;{'name': 'Murphy-White', 'catchPhrase': 'Self-enabling fault-tolerant contingency', 'bs': 'repurpose dot-com applications'};13440.0
41;{'name': 'Blanchard Group', 'catchPhrase': 'Ergonomic exuding matrices', 'bs': 'iterate vertical e-markets'};4500.0
42;{'name': 'Collins, Harvey and Davila', 'catchPhrase': 'Secured zero-defect structure', 'bs': 'drive back-end platforms'};20354.0
46;{'name': 'Lyons, Williams and Scott', 'catchPhrase': 'Self-enabling incremental initiative', 'bs': 'empower wireless convergence'};5304.0
48;{'name': 'Small-Page', 'catchPhrase': 'Focused eco-centric challenge', 'bs': 'maximize best-of-breed systems'};1881.0
52;{'name': 'Cabrera-Davidson', 'catchPhrase': 'Fundamental regional hierarchy', 'bs': 'aggregate integrated architectures'};4638.0
55;{'name': 'Williams, Anderson and Bartlett', 'catchPhrase': 'Automated maximized interface', 'bs': 'grow turn-key models'};9431.0
57;{'name': 'Guzman, Fischer and Clark', 'catchPhrase': 'Persevering tangible data-warehouse', 'bs': 'unleash killer channels'};7584.0
58;{'name': 'Wade, Bridges and Carroll', 'catchPhrase': 'Synergistic clear-thinking matrices', 'bs': 'scale dynamic markets'};11036.0
59;{'name': 'Carson, Santiago and Pope', 'catchPhrase': 'Open-architected web-enabled migration', 'bs': 'benchmark clicks-and-mortar eyeballs'};16157.0
61;{'name': 'Porter, Scott and Mcdonald', 'catchPhrase': 'Automated empowering projection', 'bs': 'enable best-of-breed platforms'};24427.0
64;{'name': 'Davis, Ayala and Roberts', 'catchPhrase': 'Re-engineered real-time middleware', 'bs': 'scale rich mindshare'};19466.0
66;{'name': 'Stewart LLC', 'catchPhrase': 'Operative content-based adapter', 'bs': 'drive clicks-and-mortar paradigms'};12276.0
67;{'name': 'Mayo PLC', 'catchPhrase': 'Polarized even-keeled intranet', 'bs': 'incubate value-added models'};6806.0
68;{'name': 'Crosby-Johnston', 'catchPhrase': 'Exclusive global success', 'bs': 'empower synergistic schemas'};8605.0
71;{'name': 'Collier, Dunlap and Velez', 'catchPhrase': 'Right-sized incremental moratorium', 'bs': 'deploy granular architectures'};21951.0
73;{'name': 'Garcia-Luna', 'catchPhrase': 'Organized didactic time-frame', 'bs': 'engage turn-key technologies'};3104.0
74;{'name': 'Reid-Evans', 'catchPhrase': 'Operative background attitude', 'bs': 'iterate strategic platforms'};17891.0
75;{'name': 'Thompson PLC', 'catchPhrase': 'Customer-focused eco-centric migration', 'bs': 'utilize virtual initiatives'};5064.0
76;{'name': 'King-Phelps', 'catchPhrase': 'Business-focused asynchronous protocol', 'bs': 'enable clicks-and-mortar paradigms'};7344.0
78;{'name': 'Brown and Sons', 'catchPhrase': 'Object-based upward-trending encryption', 'bs': 'reinvent viral solutions'};17999.0
83;{'name': 'Gardner, Goodman and Galloway', 'catchPhrase': 'Proactive coherent Internet solution', 'bs': 'utilize back-end initiatives'};7014.0
84;{'name': 'Graham-Santiago', 'catchPhrase': 'Configurable mobile adapter', 'bs': 're-intermediate back-end interfaces'};18170.0
94;{'name': 'Ramirez, Pratt and Robinson', 'catchPhrase': 'Reverse-engineered multimedia productivity', 'bs': 'whiteboard customized deliverables'};20157.0
95;{'name': 'Rodriguez, Lopez and Norris', 'catchPhrase': 'Programmable 3rdgeneration benchmark', 'bs': 'scale sticky deliverables'};6890.0
96;{'name': 'Barnes-Rose', 'catchPhrase': 'Virtual grid-enabled forecast', 'bs': 'transition sticky deliverables'};23294.0
98;{'name': 'David-Solomon', 'catchPhrase': 'Secured exuding moderator', 'bs': 'benchmark one-to-one convergence'};15240.0
99;{'name': 'Guzman-King', 'catchPhrase': 'Cloned bandwidth-monitored open architecture', 'bs': 'synergize user-centric networks'};21096.0
100;{'name': 'Cook-Allen', 'catchPhrase': 'Synchronized logistical circuit', 'bs': 'deliver frictionless schemas'};26075.0
101;{'name': 'Bennett, Rowe and Bright', 'catchPhrase': 'Function-based human-resource access', 'bs': 'incubate efficient platforms'};9493.0
102;{'name': 'Carpenter-Hoffman', 'catchPhrase': 'Optional local open architecture', 'bs': 'maximize B2C content'};19013.0
103;{'name': 'Eaton and Sons', 'catchPhrase': 'Front-line heuristic website', 'bs': 'maximize revolutionary eyeballs'};19616.0
104;{'name': 'Simon, Calderon and Johnson', 'catchPhrase': 'Visionary tangible superstructure', 'bs': 'expedite cutting-edge functionalities'};196.0
106;{'name': 'Buchanan Inc', 'catchPhrase': 'Synergistic empowering Internet solution', 'bs': 'whiteboard integrated schemas'};9108.0
108;{'name': 'Kline-Moore', 'catchPhrase': 'Centralized actuating framework', 'bs': 'productize real-time partnerships'};11074.0
109;{'name': 'Mitchell, Turner and Sharp', 'catchPhrase': 'Function-based well-modulated strategy', 'bs': 'enhance user-centric e-services'};21233.0
110;{'name': 'Davis-Patterson', 'catchPhrase': 'Distributed human-resource standardization', 'bs': 'iterate virtual channels'};2021.0
111;{'name': 'Sanchez-Davis', 'catchPhrase': 'Reverse-engineered attitude-oriented leverage', 'bs': 'streamline scalable interfaces'};18859.0
112;{'name': 'Harrison, Fields and Hanson', 'catchPhrase': 'Devolved foreground contingency', 'bs': 'grow one-to-one web services'};6446.0
113;{'name': 'Smith PLC', 'catchPhrase': 'Polarized motivating synergy', 'bs': 'cultivate clicks-and-mortar methodologies'};14828.0
118;{'name': 'Williams and Sons', 'catchPhrase': 'Implemented demand-driven attitude', 'bs': 'matrix integrated initiatives'};1032.0
119;{'name': 'Knapp-Lopez', 'catchPhrase': 'Cross-platform radical groupware', 'bs': 'reinvent granular methodologies'};17854.0
120;{'name': 'Lopez-Richards', 'catchPhrase': 'Extended exuding capacity', 'bs': 'grow out-of-the-box ROI'};19003.0
122;{'name': 'Silva-Carroll', 'catchPhrase': 'Phased fault-tolerant initiative', 'bs': 'enhance efficient initiatives'};15357.0
123;{'name': 'Williams-Young', 'catchPhrase': 'Business-focused hybrid algorithm', 'bs': 'syndicate sticky systems'};1391.0
126;{'name': 'Jackson Inc', 'catchPhrase': 'Open-architected real-time monitoring', 'bs': 'unleash B2B users'};14833.0
127;{'name': 'Horne-Kennedy', 'catchPhrase': 'Assimilated scalable migration', 'bs': 'deliver virtual infrastructures'};3254.0
129;{'name': 'Ramirez, Peters and Olson', 'catchPhrase': 'Synchronized optimizing workforce', 'bs': 'target compelling niches'};19599.0
133;{'name': 'Reed and Sons', 'catchPhrase': 'Persevering national synergy', 'bs': 'generate bleeding-edge synergies'};879.0
134;{'name': 'Moon, Thompson and Moss', 'catchPhrase': 'Profit-focused holistic hub', 'bs': 'engage collaborative vortals'};8976.0
137;{'name': 'Martinez Ltd', 'catchPhrase': 'Networked even-keeled collaboration', 'bs': 'visualize frictionless e-services'};18528.0
138;{'name': 'Lloyd-Brown', 'catchPhrase': 'Assimilated value-added policy', 'bs': 'redefine next-generation markets'};2162.0
139;{'name': 'Baker-Morales', 'catchPhrase': 'De-engineered fresh-thinking Internet solution', 'bs': 'morph efficient eyeballs'};16924.0
142;{'name': 'Mata LLC', 'catchPhrase': 'Realigned 3rdgeneration parallelism', 'bs': 'expedite 24/365 users'};5596.0
143;{'name': 'Berry and Sons', 'catchPhrase': 'Self-enabling optimizing instruction set', 'bs': 'revolutionize sticky schemas'};9929.0
144;{'name': 'Flores-Baker', 'catchPhrase': 'Face-to-face static instruction set', 'bs': 'utilize out-of-the-box vortals'};6701.0
148;{'name': 'Graves, Bennett and Smith', 'catchPhrase': 'Versatile contextually-based encoding', 'bs': 'whiteboard 24/7 users'};18509.0
152;{'name': 'Chavez, Clark and Mitchell', 'catchPhrase': 'Monitored national knowledge user', 'bs': 'generate cross-media platforms'};20606.0
153;{'name': 'Bean-Juarez', 'catchPhrase': 'Customer-focused grid-enabled throughput', 'bs': 'leverage magnetic ROI'};19205.0
154;{'name': 'Mitchell, Smith and Barron', 'catchPhrase': 'Ameliorated empowering architecture', 'bs': 'engineer distributed communities'};3311.0
156;{'name': 'Nichols-Combs', 'catchPhrase': 'Vision-oriented non-volatile Graphic Interface', 'bs': 'extend vertical metrics'};9068.0
157;{'name': 'West Group', 'catchPhrase': 'Implemented high-level synergy', 'bs': 'morph back-end mindshare'};14359.0
158;{'name': 'Smith LLC', 'catchPhrase': 'Multi-channeled zero tolerance extranet', 'bs': 'synergize viral schemas'};15770.0
159;{'name': 'Porter LLC', 'catchPhrase': 'Organic 4thgeneration protocol', 'bs': 'leverage sticky markets'};8632.0
161;{'name': 'Henderson, Rocha and Johnson', 'catchPhrase': 'Customer-focused needs-based collaboration', 'bs': 're-intermediate one-to-one relationships'};24000.0
162;{'name': 'Mcintosh, Rice and Wilkinson', 'catchPhrase': 'Proactive asymmetric support', 'bs': 'strategize mission-critical e-tailers'};9291.0
163;{'name': 'Lee PLC', 'catchPhrase': 'Vision-oriented interactive synergy', 'bs': 'integrate ubiquitous eyeballs'};4236.0
164;{'name': 'Hudson, Cooper and Lewis', 'catchPhrase': 'Down-sized empowering process improvement', 'bs': 'transition integrated infrastructures'};4280.0
165;{'name': 'Rojas, Stone and Calhoun', 'catchPhrase': 'Inverse 24hour instruction set', 'bs': 'visualize B2B communities'};9181.0
166;{'name': 'Bell-Allen', 'catchPhrase': 'Virtual client-driven open system', 'bs': 'exploit seamless initiatives'};23976.0
167;{'name': 'Griffith LLC', 'catchPhrase': 'Organic impactful initiative', 'bs': 'integrate scalable bandwidth'};5812.0
168;{'name': 'Horn, Ibarra and Smith', 'catchPhrase': 'Progressive encompassing secured line', 'bs': 'redefine out-of-the-box users'};3511.0
169;{'name': 'Bailey Ltd', 'catchPhrase': 'Organized uniform hub', 'bs': 'incentivize enterprise synergies'};12527.0
170;{'name': 'Martin-Collins', 'catchPhrase': 'Progressive reciprocal focus group', 'bs': 'expedite distributed relationships'};24354.0
171;{'name': 'Norman-Weaver', 'catchPhrase': 'Total 24/7 knowledgebase', 'bs': 'grow end-to-end web-readiness'};443.0
172;{'name': 'Mendoza, Lopez and Harris', 'catchPhrase': 'Virtual multi-state challenge', 'bs': 'target impactful architectures'};25588.0
173;{'name': 'Davis-Williams', 'catchPhrase': 'Open-source mobile time-frame', 'bs': 're-intermediate holistic niches'};15947.0
175;{'name': 'Hood, Mitchell and Charles', 'catchPhrase': 'Object-based hybrid open system', 'bs': 'harness sticky content'};5626.0
176;{'name': 'Cox, King and Armstrong', 'catchPhrase': 'Configurable contextually-based policy', 'bs': 'innovate plug-and-play interfaces'};850.0
177;{'name': 'Cox, Wallace and Nichols', 'catchPhrase': 'Exclusive zero-defect secured line', 'bs': 'engineer customized web-readiness'};2262.0
