COMPANY_ID,USER_ID,COMPANY_NAME,COMPANY_CATCHPHRASE,COMPANY_BS
1,1,Romaguera-Crona,Multi-layered client-server neural-net,harness real-time e-markets
2,2,Deckow-Crist,Proactive didactic contingency,synergize scalable supply-chains
3,3,Romaguera-Jacobson,Face to face bifurcated interface,e-enable strategic applications
4,4,Robel-Corkery,Multi-tiered zero tolerance productivity,transition cutting-edge web services
5,5,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems
6,6,Considine-Lockman,Synchronised bottom-line interface,e-enable innovative applications
7,7,Johns Group,Configurable multimedia task-force,generate enterprise e-tailers
8,8,Abernathy Group,Implemented secondary concept,e-enable extensible e-tailers
9,9,Yost and Sons,Switchable contextually-based project,aggregate real-time technologies
10,10,Hoeger LLC,Centralized empowering task-force,target end-to-end models
11,53101,Horton PLC,Customizable secondary support,maximize scalable e-markets
12,16631,"Wilson, Harris and Gonzalez",Open-architected non-volatile system engine,architect bricks-and-clicks e-tailers
13,40629,Hampton-Mullins,Streamlined context-sensitive software,utilize front-end supply-chains
14,36124,Green-Bailey,Secured bottom-line alliance,incubate customized relationships
15,53334,Martin and Sons,Balanced intangible flexibility,maximize transparent e-business
16,14648,Stewart-Smith,Grass-roots systemic migration,e-enable turn-key eyeballs
17,20341,Jimenez-Meyers,Quality-focused stable contingency,engineer rich deliverables
18,32800,"Li, Castillo and Benson",Assimilated explicit implementation,productize impactful e-markets
19,44554,Williams-Reynolds,Sharable impactful Internet solution,maximize B2B relationships
20,41531,"Sanders, Francis and King",Compatible disintermediate methodology,redefine cutting-edge initiatives
21,9191,Fry-Woods,Phased discrete framework,synergize rich models
22,12147,"Taylor, Garcia and Pham",Object-based national toolset,innovate web-enabled platforms
23,12741,Duncan-Weiss,Future-proofed user-facing array,syndicate magnetic mindshare
24,43315,"Wang, Lawrence and Carr",Versatile high-level complexity,cultivate end-to-end mindshare
25,30235,"Baldwin, Peterson and Anderson",Devolved 6thgeneration throughput,morph e-business e-markets
26,27300,Fisher-Jones,Assimilated homogeneous challenge,embrace killer mindshare
27,26381,Irwin-Johnson,Organized tertiary alliance,harness web-enabled synergies
28,31173,"Miller, Joseph and Hudson",Open-source non-volatile strategy,extend distributed e-services
29,51548,Jackson-Gibbs,Integrated upward-trending archive,engineer open-source infrastructures
30,48152,Anderson-Frost,Synchronized optimizing portal,scale cutting-edge e-business
31,28880,Duran-Sanchez,Polarized bandwidth-monitored approach,target extensible markets
32,14356,"Marquez, Hodge and Johnson",Proactive transitional complexity,integrate dynamic portals
